#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-drivers,"keyboard and mouse"
,xwininfo,"allows querying information about windows."
,xauth,"xauth"
,setxkbmap,"keyboard layout change"
,pkgconf,"compilation utilities"
,xinit,"starts the graphical server."
,xset,"utility for configuring and ajusting X server"
,libXinerama,"dependencies"
,libXft,"dependencies"
,libxml2,"dependencies"
,polkit,"manages user policies."
,meson,"deps"
,ninja,"deps"
,libev,"deps"
,uthash,"deps"
,libconfig,"deps"
,xrandr,"deps"
,hack-font,"provides the sans and serif fonts for LARBS."
,font-awesome,"provides extended glyph support."
,dejavu,"properly displays emojis."
,gh-bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,linux-c7-dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,neovim,"a tidier vim with some useful features"
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,librewolf,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
,noto,"is an expansive font package."
,noto-emoji,"is an emoji font."
,fusefs-ntfs-compression,"allows accessing NTFS partitions."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,neofetch,"some swagg I cooked."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
,htop,"system monitor"
,mate-base,"The best DE"
,claws-mail,"is a light-weight terminal-based email system."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance maimpick"
,tesseract-data,"english language pack for OCR"
,redshift,"night mode for linux"
,terminus-font,"console font to change the tiny default"
,p7zip,"7z capabilities"
,ImageMagick7,"image editor"
,urlview,"url preview"
,octopkg,"graphical package installer"
